pattern,offset
882877,6890510
459010,6890504
926873,6885054
737420,6883369
643732,6882131
395768,6882124
360761,6880432
349874,6880304
829525,6877338
534407,6876217
788686,6875752
703890,6875184
442652,6873966
680641,6873052
453851,6872836
817993,6870113
748574,6869384
004369,6869365
945063,6868275
703975,6865840
526246,6865227
430757,6865141
641447,6864045
914105,6863457
786806,6862416
626688,6862212
340936,6861393
667311,6861217
250215,6860374
758162,6859516
436153,6858607
750972,6856688
144972,6856507
663479,6855596
822419,6852113
086340,6851531
762586,6847381
875511,6846608
006022,6846120
786873,6846069
087868,6846067
065101,6845673
443318,6845131
638098,6843625
320756,6843568
787798,6843047
147239,6842544
163675,6842301
437550,6841460
661815,6840791
168673,6839153
875696,6838950
809183,6838898
950390,6838784
376341,6838492
804834,6837837
799708,6837726
066343,6837679
874459,6835764
702341,6832792
181822,6831956
862245,6831543
243667,6831349
584625,6830179
661601,6829906
413266,6829634
885053,6826210
013344,6826195
273607,6825225
737524,6824498
264373,6820796
087985,6820664
151333,6820527
244648,6820319
315396,6819581
579423,6819179
215075,6816245
162062,6815454
664189,6814751
591112,6814217
672206,6813272
062244,6813091
008244,6812726
815850,6811802
558391,6811475
843781,6809905
965766,6809728
559996,6809646
318537,6809585
752813,6809235
423591,6808265
804440,6807762
259502,6806888
472453,6806718
883182,6805477
822347,6805334
683949,6805094
962205,6804800
384771,6804687
225827,6803094
011236,6803046
035552,6802139
442286,6801530
325902,6800245
210441,6800023
555036,6799247
904350,6798002
275970,6797929
006953,6797408
493567,6795881
809383,6794068
987087,6794056
874722,6794013
668077,6793609
559281,6793068
905542,6791089
644833,6788043
446977,6787943
572835,6786590
614648,6786066
738954,6785969
296758,6783970
881390,6782878
285286,6782842
865553,6782648
856750,6781576
225130,6781418
950772,6781386
222763,6780677
457431,6780439
230177,6780333
768605,6779942
302234,6779933
494104,6779633
043669,6778631
058047,6778307
497881,6778121
115986,6777281
151804,6777164
107844,6777052
414967,6776422
023952,6776377
676857,6776140
657787,6772086
615347,6771473
283230,6770185
869998,6769638
660156,6769286
089963,6768944
142653,6768858
539381,6768466
204325,6767152
481621,6766181
292954,6765208
301099,6763271
755440,6762888
120122,6762732
567949,6762528
928268,6762100
086052,6761803
558663,6761411
001766,6760652
080822,6760469
246687,6759473
617413,6759355
755867,6758425
835400,6757053
903680,6757031
784507,6756272
650542,6755114
598261,6754423
426945,6753975
321387,6753657
729202,6752933
610607,6752850
772930,6752654
327635,6751701
203461,6750807
537498,6748609
396916,6748316
714742,6748271
418803,6748004
940027,6747843
192596,6747832
253737,6742755
758938,6742388
093370,6741405
127359,6741377
834672,6740866
891319,6738513
701473,6737762
905120,6736504
516128,6733148
092271,6732742
393536,6732663
009330,6732175
853056,6731925
335260,6730799
088553,6729666
549553,6727442
892672,6726789
870970,6726343
913837,6726270
152010,6725874
521748,6724918
242933,6724389
293903,6724350
529534,6724002
141207,6723826
170356,6723590
145665,6723571
142228,6722955
336970,6722197
595780,6722043
645127,6722023
745284,6718872
989312,6717198
185948,6717056
789199,6716134
878041,6715733
376714,6714722
055869,6714090
749595,6713909
254880,6712914
905288,6712839
950670,6708924
607755,6707507
409132,6707497
211794,6706586
465645,6704819
699196,6702515
195152,6702309
158863,6701319
455454,6700365
352583,6698764
432474,6698487
417247,6696792
482861,6696299
986298,6696088
633630,6695693
468621,6695530
015113,6694206
088839,6692857
228569,6692819
208039,6692629
932583,6688214
632433,6687600
440739,6685826
270321,6685737
251614,6685427
417125,6685109
067882,6685058
919028,6684841
028909,6684526
336847,6683302
522196,6682777
927322,6681516
214750,6681275
625569,6681175
602948,6680712
507664,6679219
718502,6679090
252003,6678507
012520,6678505
693286,6677435
327184,6676798
539027,6676592
416387,6674138
201160,6673998
684386,6673775
063726,6673532
144542,6673085
571860,6672997
349454,6669752
214815,6669439
672770,6668838
264659,6668659
793599,6668549
703613,6668141
957587,6667905
671326,6667729
385880,6666288
117211,6665881
322831,6664943
101927,6664556
147509,6663826
804368,6663788
344277,6662944
111957,6659967
954806,6659250
973707,6659158
850454,6658020
825150,6657298
017702,6657010
645028,6656443
600867,6656432
489116,6655390
501893,6653312
823295,6652004
021698,6651880
643927,6651835
989582,6651709
134415,6651667
390273,6651317
515051,6651143
903355,6650447
228480,6650346
202696,6649736
531306,6649174
985530,6648628
644898,6648617
372718,6647950
490489,6646949
577661,6645150
392552,6644667
915389,6643845
014990,6643283
000251,6642967
450980,6642095
017693,6641644
448824,6640685
646020,6639836
520744,6638722
500464,6638572
502895,6638271
279310,6637995
360223,6637688
529819,6637041
531655,6636345
445018,6636217
625279,6635636
807252,6633191
105891,6632453
641287,6632278
657721,6630114
839495,6629534
227982,6629204
634138,6629137
361759,6628816
537569,6628734
447551,6628560
784462,6628482
530586,6627799
710765,6626624
454893,6623639
290922,6623400
776505,6621729
745305,6621639
740139,6620578
929849,6620569
949905,6620458
839205,6619902
882336,6619798
357023,6619596
808513,6619261
053450,6619168
018891,6619012
889691,6618081
530066,6615532
716496,6615043
210104,6614866
288667,6614796
527109,6614651
206419,6613937
436022,6613699
076732,6612672
459789,6611733
716987,6608731
883135,6607944
369884,6607643
251025,6606344
567724,6606318
154085,6605490
540807,6605186
914603,6604712
417345,6603953
759519,6603387
726427,6602537
011551,6600834
922204,6600709
986220,6599092
871204,6598263
823308,6597675
262850,6596785
247658,6596647
206501,6593516
919900,6592339
582341,6591986
592149,6591569
830307,6591316
085798,6590931
423775,6590423
487728,6590405
515332,6589870
449905,6589837
358901,6589571
856768,6588829
478714,6587776
496530,6586796
276276,6586258
141963,6585555
227032,6585465
513296,6584815
411926,6583985
325333,6582601
538588,6582540
382260,6581552
486674,6581259
993481,6580027
915009,6579594
864305,6578227
348148,6577698
030816,6577634
187023,6577576
710279,6575140
989649,6575058
922848,6574921
442864,6574858
882036,6574724
827030,6574116
349314,6573909
157750,6572383
771748,6571639
706986,6570603
374044,6567353
539100,6567130
857918,6566663
670598,6566041
939834,6565849
509646,6565596
614190,6564557
554871,6563775
347586,6563261
459701,6562793
250684,6561058
839705,6560933
169067,6560729
326283,6559282
961656,6558276
077195,6557580
550408,6556444
225444,6555812
944390,6555507
295440,6554720
721784,6553798
980318,6553673
063026,6551814
378527,6551731
473268,6550804
434772,6550382
079397,6549658
331690,6546314
085579,6545906
005970,6545852
465781,6545611
953668,6544384
292790,6544020
929279,6544019
783155,6543192
703596,6540799
301235,6540642
765525,6540220
969299,6539383
535245,6538537
523414,6536829
123763,6536060
729384,6535731
577346,6535342
011634,6534483
089579,6533998
973312,6533218
479962,6531348
552822,6531138
782226,6530933
268968,6529998
381584,6529866
257425,6529439
228248,6527374
384839,6525521
310816,6524917
683335,6524724
666515,6524427
169664,6523890
914875,6522446
230340,6521987
675490,6521394
098797,6520671
662757,6518356
216211,6517939
853135,6517932
444130,6515361
826136,6514938
602203,6514620
266534,6514038
669313,6513701
494493,6512999
173728,6512910
617129,6512561
732864,6512438
787847,6511966
592006,6511931
996564,6511684
420145,6511629
312064,6510444
732237,6508594
459844,6507070
640370,6505691
537740,6505221
478226,6503910
936669,6503807
837259,6503524
394647,6502413
007917,6501731
281488,6501276
192047,6500342
011927,6499324
531489,6497838
761786,6497183
086452,6496489
404269,6496260
216761,6495992
256245,6495766
915190,6494000
808491,6493191
632316,6492769
124918,6488790
827514,6488624
743033,6488456
689738,6488115
996815,6486410
859232,6485820
106510,6485709
110651,6484816
963290,6483388
185245,6482368
254745,6481718
723781,6480255
231073,6479647
934120,6478676
717847,6478625
435160,6478287
013271,6476550
953059,6476536
553464,6475732
601426,6475324
866188,6474881
015690,6474500
